Sl. No,Name of Incident,Date,Month,Year,Country,Type of Event,Place Name,Impact,Affected Population,Important Person/Group Responsible,Outcome,latitude,longitude
1,Indus Valley Civilization Flourishes,Unknown,Unknown,2600 BC,India,Civilization,Indus Valley,Development of one of the world's earliest urban civilizations,Local inhabitants,Indus Valley people,Positive,29.90451816438136,73.46428006668208
2,Battle of the Ten Kings,Unknown,Unknown,1400 BC,India,Battle,Punjab,Rigvedic tribes consolidated their control over the region,Rigvedic tribes,Sudas,Positive,31.1471305,75.34121789999999
6,Establishment of the Delhi Sultanate,Unknown,Unknown,1206,India,Political,Delhi,Muslim rule established in parts of India,People of Delhi and surrounding regions,QutbUnknownudUnknowndin Aibak,Mixed,28.6139298,77.2088282
7,Battle of Panipat,21,April,1526,India,Battle,Panipat,Foundation of the Mughal Empire in India,Northern Indian kingdoms,Babur,Mixed,29.3909464,76.9635023
8,Establishment of British Raj,1,May,1858,India,Colonial,Whole India,Start of direct British governance in India,Indian subcontinent,British East India Company/Empire,Negative,20.593684,78.96288
9,Partition of India,15,August,1947,India,Partition,India/Pakistan,Creation of India and Pakistan; massive population displacement and violence,"Hindus, Muslims, Sikhs","British Empire, Indian political leaders",Negative,30.375321,69.34511599999999
10,IndoUnknownPakistani War of 1971,3,December,1971,India,War,Bangladesh,Led to the independence of Bangladesh,Bengalis in East Pakistan,"Indian Military, Mukti Bahini",Negative,24.13556875,90.31065585
11,PokhranUnknownII Nuclear Tests,11,May,1998,India,Nuclear Test,Pokhran,India declared itself a nuclear state,International community,Atal Bihari Vajpayee,Mixed,26.9207919,71.92243549999999
12,Mumbai Terror Attacks,26,November,2008,India,Terrorism,Mumbai,Highlighted the threat of international terrorism,Citizens of Mumbai,LashkarUnknowneUnknownTaiba,Negative,19.0759837,72.8776559
13,Arrival of Vasco da Gama,20,May,1498,India,Exploration,Calicut,Marked the beginning of European colonial interests in India,Coastal communities,Vasco da Gama,Negative,11.2587531,75.78041
14,Battle of Plassey,23,June,1757,India,Battle,Plassey,Foundation for the expansion of British rule in India,Bengal and later all of India,East India Company,Negative,23.7832868,88.26071879999999
15,First War of Indian Independence,10,May,1857,India,Revolt,Meerut,First largeUnknownscale rebellion against British rule,"Rebels, British Raj","Indian soldiers, British East India Company",Negative,28.9844618,77.7064137
16,Swadeshi Movement,7,August,1905,India,National Movement,Bengal,Promoted Indian goods; protest against British economic policies,Indian nationalists,Indian National Congress,Positive,22.9867569,87.8549755
17,Green Revolution,Unknown,Unknown,1960,India,Agricultural Revolution,"Punjab, Haryana",Dramatically increased agricultural production,Indian farmers,"M.S. Swaminathan, Norman Borlaug",Positive,29.0587757,76.085601
18,Operation Blue Star,1,June,1984,India,Military Operation,Amritsar,Removal of armed militants from Golden Temple but led to controversy,Sikh community,"Indian Government, Sikh militants",Negative,31.6339793,74.8722642
19,Kargil War,Unknown,May,1999,India,Military Conflict,"Kargil, Ladakh",India regained control of Kargil; heightened patriotism,Indian Armed Forces,"Indian Government, Pakistani Military",Positive,34.5538522,76.1348944
20,Right to Information Act Enacted,15,June,2005,India,Legislation,India,Empowered citizens to seek information from public authorities,Indian citizens,Government of India,Positive,20.593684,78.96288
21,Nirbhaya Case,16,December,2012,India,Criminal Incident,New Delhi,Brought attention to women's safety and led to legal reforms,Indian women,"Indian society, Government of India",Positive,28.6139298,77.2088282
22,Launch of 5G Services,Unknown,October,2022,India,Technology,India,Introduction of 5G technology expected to revolutionize connectivity,"Indian consumers, businesses","Telecom companies, Government of India",Positive,20.593684,78.96288
23,Ram Mandir Bhoomi Pujan,5,August,2020,India,Cultural/Religious,Ayodhya,Beginning of the construction of Ram Temple at disputed site,Hindu community,"Government of India, Hindu activists",Positive,26.7921605,82.1997954
24,India's First Hyperloop Project Announcement,Unknown,February,2018,India,Infrastructure,Maharashtra,Proposal for highUnknownspeed transportation system,Potential commuters,"Virgin Hyperloop One, State Government",Positive,19.7514798,75.7138884
25,Indian Independence,15,August,1947,India,Political,India,End of British rule and birth of independent India,All citizens of India,"Indian National Congress, Muslim League",Positive,20.593684,78.96288
26,First General Elections,Unknown,October,1951,India,Political,India,Establishment of democratic governance,Indian electorate,Government of India,Positive,20.593684,78.96288
27,SinoUnknownIndian War,20,October,1962,India,Military Conflict,Border regions of India,Highlighted the border disputes and led to military and strategic changes,Border communities,"India, China",Negative,20.593684,78.96288
